State,State Code,2013 Urbanization,2013 Urbanization Code,Ten-Year Age Groups,Age Group Midpoint,Drug/Alcohol Induced Causes,Drug/Alcohol Induced Causes Code,Deaths,Population,Crude Rate,% of Total Deaths
New York,36,Small Metro,4,1-4 years,2.5,All Other Causes,O,171,647508,26.4089,0.00%
California,6,Medium Metro,3,1-4 years,2.5,All Other Causes,O,1759,6656630,26.4248,0.00%
Missouri,29,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,517,1952156,26.4835,0.00%
Idaho,16,Small Metro,4,1-4 years,2.5,All Other Causes,O,107,400287,26.7308,0.00%
Nebraska,31,Medium Metro,3,1-4 years,2.5,All Other Causes,O,272,1012634,26.8606,0.00%
Pennsylvania,42,Medium Metro,3,1-4 years,2.5,All Other Causes,O,758,2815495,26.9224,0.00%
Minnesota,27,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,149,551287,27.0277,0.00%
Michigan,26,Small Metro,4,1-4 years,2.5,All Other Causes,O,271,995358,27.2264,0.00%
Pennsylvania,42,Small Metro,4,1-4 years,2.5,All Other Causes,O,234,855106,27.365,0.00%
North Dakota,38,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,38,137784,27.5794,0.00%
West Virginia,54,Medium Metro,3,1-4 years,2.5,All Other Causes,O,71,257366,27.5872,0.00%
Maine,23,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,80,289431,27.6404,0.00%
Kentucky,21,Small Metro,4,1-4 years,2.5,All Other Causes,O,103,371453,27.7289,0.00%
New York,36,Medium Metro,3,1-4 years,2.5,All Other Causes,O,390,1405679,27.7446,0.00%
Pennsylvania,42,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,627,2254502,27.811,0.00%
Virginia,51,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,300,1078173,27.8248,0.00%
Ohio,39,Medium Metro,3,1-4 years,2.5,All Other Causes,O,698,2500859,27.9104,0.00%
Iowa,19,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,185,661667,27.9597,0.00%
Washington,53,Small Metro,4,1-4 years,2.5,All Other Causes,O,217,775782,27.9718,0.00%
Iowa,19,Small Metro,4,1-4 years,2.5,All Other Causes,O,147,522886,28.1132,0.00%
Minnesota,27,Medium Metro,3,1-4 years,2.5,All Other Causes,O,48,170304,28.1849,0.00%
Utah,49,Small Metro,4,1-4 years,2.5,All Other Causes,O,80,283642,28.2046,0.00%
Georgia,13,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,1165,4117726,28.2923,0.00%
Texas,48,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,1126,3965631,28.394,0.00%
New York,36,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,215,755173,28.4703,0.00%
Tennessee,47,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,281,981745,28.6225,0.00%
South Carolina,45,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,81,280957,28.83,0.00%
South Dakota,46,Small Metro,4,1-4 years,2.5,All Other Causes,O,105,361231,29.0673,0.00%
California,6,Small Metro,4,1-4 years,2.5,All Other Causes,O,310,1063928,29.1373,0.00%
Texas,48,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,3532,12103464,29.1817,0.01%
Nevada,32,Medium Metro,3,1-4 years,2.5,All Other Causes,O,106,363181,29.1865,0.00%
North Carolina,37,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,308,1054058,29.2204,0.00%
North Carolina,37,Medium Metro,3,1-4 years,2.5,All Other Causes,O,819,2798599,29.2646,0.00%
Illinois,17,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,1416,4830450,29.314,0.00%
Nebraska,31,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,89,303108,29.3625,0.00%
Michigan,26,Medium Metro,3,1-4 years,2.5,All Other Causes,O,399,1351584,29.5209,0.00%
Missouri,29,Small Metro,4,1-4 years,2.5,All Other Causes,O,174,588323,29.5756,0.00%
Maryland,24,Medium Metro,3,1-4 years,2.5,All Other Causes,O,73,246267,29.6426,0.00%
Georgia,13,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,243,819619,29.6479,0.00%
Virginia,51,Small Metro,4,1-4 years,2.5,All Other Causes,O,161,539908,29.8199,0.00%
Tennessee,47,Medium Metro,3,1-4 years,2.5,All Other Causes,O,382,1275666,29.9451,0.00%
Washington,53,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,132,440527,29.9641,0.00%
New Mexico,35,Medium Metro,3,1-4 years,2.5,All Other Causes,O,231,768241,30.0687,0.00%
California,6,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,58,192694,30.0995,0.00%
West Virginia,54,Small Metro,4,1-4 years,2.5,All Other Causes,O,169,561399,30.1034,0.00%
Kansas,20,Small Metro,4,1-4 years,2.5,All Other Causes,O,113,373220,30.277,0.00%
Virginia,51,Medium Metro,3,1-4 years,2.5,All Other Causes,O,146,481232,30.3388,0.00%
Colorado,8,Small Metro,4,1-4 years,2.5,All Other Causes,O,78,256135,30.4527,0.00%
Indiana,18,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,546,1792031,30.4682,0.00%
Ohio,39,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,890,2919279,30.487,0.00%
Maine,23,Small Metro,4,1-4 years,2.5,All Other Causes,O,60,196480,30.5375,0.00%
Michigan,26,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,734,2392359,30.681,0.00%
Florida,12,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,1692,5480601,30.8725,0.00%
Hawaii,15,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,63,202793,31.0662,0.00%
Nevada,32,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,538,1730078,31.0969,0.00%
Colorado,8,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,178,571542,31.1438,0.00%
Alaska,2,Medium Metro,3,1-4 years,2.5,All Other Causes,O,113,362551,31.168,0.00%
Utah,49,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,47,150327,31.2652,0.00%
Tennessee,47,Small Metro,4,1-4 years,2.5,All Other Causes,O,138,441249,31.2749,0.00%
Michigan,26,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,153,489006,31.288,0.00%
South Carolina,45,Medium Metro,3,1-4 years,2.5,All Other Causes,O,787,2502018,31.4546,0.00%
Illinois,17,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,227,713117,31.8321,0.00%
Indiana,18,Small Metro,4,1-4 years,2.5,All Other Causes,O,299,936233,31.9365,0.00%
New Jersey,34,Small Metro,4,1-4 years,2.5,All Other Causes,O,65,203298,31.9728,0.00%
Wisconsin,55,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,179,559237,32.0079,0.00%
Arizona,4,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,1203,3721346,32.327,0.00%
Kentucky,21,Medium Metro,3,1-4 years,2.5,All Other Causes,O,197,609117,32.3419,0.00%
Colorado,8,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,98,302453,32.4017,0.00%
Texas,48,Medium Metro,3,1-4 years,2.5,All Other Causes,O,1506,4630024,32.5268,0.00%
Indiana,18,Medium Metro,3,1-4 years,2.5,All Other Causes,O,286,878621,32.551,0.00%
Wisconsin,55,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,300,918528,32.661,0.00%
Florida,12,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,1281,3900571,32.8413,0.00%
Idaho,16,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,37,112087,33.0101,0.00%
California,6,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,134,405279,33.0636,0.00%
Kentucky,21,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,215,646715,33.2449,0.00%
New York,36,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,97,291683,33.2553,0.00%
Alabama,1,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,132,396861,33.261,0.00%
Oregon,41,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,146,436976,33.4114,0.00%
Colorado,8,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,81,242125,33.4538,0.00%
Missouri,29,Medium Metro,3,1-4 years,2.5,All Other Causes,O,129,384583,33.5428,0.00%
Minnesota,27,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,159,473771,33.5605,0.00%
Montana,30,Small Metro,4,1-4 years,2.5,All Other Causes,O,97,287525,33.7362,0.00%
Illinois,17,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,164,486116,33.7368,0.00%
Louisiana,22,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,261,773381,33.7479,0.00%
South Carolina,45,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,125,369920,33.7911,0.00%
North Carolina,37,Small Metro,4,1-4 years,2.5,All Other Causes,O,276,813452,33.9295,0.00%
Ohio,39,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,553,1627056,33.9878,0.00%
North Carolina,37,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,432,1268192,34.0642,0.00%
Ohio,39,Small Metro,4,1-4 years,2.5,All Other Causes,O,142,414544,34.2545,0.00%
Utah,49,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,59,171744,34.3535,0.00%
Indiana,18,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,141,409182,34.459,0.00%
Virginia,51,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,194,562946,34.4616,0.00%
Nebraska,31,Small Metro,4,1-4 years,2.5,All Other Causes,O,38,109894,34.5788,0.00%
Illinois,17,Small Metro,4,1-4 years,2.5,All Other Causes,O,303,876126,34.5841,0.00%
Indiana,18,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,313,904077,34.6209,0.00%
Nevada,32,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,66,190453,34.6542,0.00%
Iowa,19,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,146,421038,34.6762,0.00%
Arizona,4,Medium Metro,3,1-4 years,2.5,All Other Causes,O,285,820428,34.738,0.00%
Nebraska,31,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,101,288194,35.0458,0.00%
Utah,49,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,26,73787,35.2366,0.00%
Oregon,41,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,26,73528,35.3607,0.00%
Georgia,13,Small Metro,4,1-4 years,2.5,All Other Causes,O,503,1420843,35.4015,0.00%
Tennessee,47,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,530,1490267,35.5641,0.00%
Missouri,29,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,332,932009,35.622,0.00%
Tennessee,47,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,235,658530,35.6855,0.00%
New Mexico,35,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,26,72762,35.7329,0.00%
Pennsylvania,42,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,107,298781,35.8122,0.00%
Texas,48,Small Metro,4,1-4 years,2.5,All Other Causes,O,555,1543793,35.9504,0.00%
Arkansas,5,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,20,55558,35.9984,0.00%
Alaska,2,Small Metro,4,1-4 years,2.5,All Other Causes,O,36,99867,36.0479,0.00%
Alabama,1,Small Metro,4,1-4 years,2.5,All Other Causes,O,352,975099,36.0989,0.00%
North Carolina,37,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,182,501916,36.261,0.00%
Pennsylvania,42,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,287,789885,36.3344,0.00%
Indiana,18,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,327,898220,36.4053,0.00%
Missouri,29,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,219,598316,36.6027,0.00%
Mississippi,28,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,81,221256,36.6092,0.00%
Arkansas,5,Medium Metro,3,1-4 years,2.5,All Other Causes,O,447,1219481,36.6549,0.00%
Oklahoma,40,Medium Metro,3,1-4 years,2.5,All Other Causes,O,351,953415,36.815,0.00%
District of Columbia,11,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,169,457513,36.9388,0.00%
Alabama,1,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,217,587216,36.954,0.00%
Ohio,39,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,151,407824,37.0258,0.00%
Delaware,10,Medium Metro,3,1-4 years,2.5,All Other Causes,O,54,144756,37.3042,0.00%
Kentucky,21,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,310,830393,37.3317,0.00%
South Carolina,45,Small Metro,4,1-4 years,2.5,All Other Causes,O,165,441903,37.3385,0.00%
North Dakota,38,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,58,154852,37.4551,0.00%
Georgia,13,Medium Metro,3,1-4 years,2.5,All Other Causes,O,383,1022362,37.4623,0.00%
Washington,53,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,38,101339,37.4979,0.00%
Wyoming,56,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,79,209218,37.7597,0.00%
Virginia,51,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,80,211728,37.7843,0.00%
Alabama,1,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,173,456289,37.9146,0.00%
Wyoming,56,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,47,123639,38.0139,0.00%
New Mexico,35,Small Metro,4,1-4 years,2.5,All Other Causes,O,170,446375,38.0846,0.00%
Florida,12,Small Metro,4,1-4 years,2.5,All Other Causes,O,257,668448,38.4473,0.00%
Kansas,20,Medium Metro,3,1-4 years,2.5,All Other Causes,O,239,621381,38.4627,0.00%
Oklahoma,40,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,279,725212,38.4715,0.00%
West Virginia,54,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,118,305875,38.5779,0.00%
Idaho,16,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,154,399016,38.5949,0.00%
Kentucky,21,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,268,693604,38.6388,0.00%
Tennessee,47,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,198,511996,38.6722,0.00%
Florida,12,Medium Metro,3,1-4 years,2.5,All Other Causes,O,1395,3601552,38.7333,0.00%
Oklahoma,40,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,173,445622,38.8221,0.00%
Missouri,29,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,272,690138,39.4124,0.00%
Texas,48,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,599,1512195,39.6113,0.00%
Arizona,4,Small Metro,4,1-4 years,2.5,All Other Causes,O,278,696756,39.8992,0.00%
Maryland,24,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,223,557576,39.9945,0.00%
Georgia,13,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,358,893543,40.0652,0.00%
New Mexico,35,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,236,587696,40.1568,0.00%
Kansas,20,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,136,338206,40.2122,0.00%
Arizona,4,Large Fringe Metro,2,1-4 years,2.5,All Other Causes,O,116,288305,40.2352,0.00%
Alabama,1,Medium Metro,3,1-4 years,2.5,All Other Causes,O,456,1105784,41.2377,0.00%
Montana,30,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,119,286593,41.5223,0.00%
Mississippi,28,Small Metro,4,1-4 years,2.5,All Other Causes,O,55,131755,41.7441,0.00%
West Virginia,54,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,98,231401,42.3507,0.00%
Florida,12,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,125,293580,42.5778,0.00%
Kansas,20,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,231,541931,42.6254,0.00%
South Carolina,45,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,120,275887,43.4961,0.00%
Oklahoma,40,Small Metro,4,1-4 years,2.5,All Other Causes,O,56,128010,43.7466,0.00%
Georgia,13,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,294,660675,44.4999,0.00%
Louisiana,22,Medium Metro,3,1-4 years,2.5,All Other Causes,O,704,1579553,44.5696,0.00%
Texas,48,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,535,1191538,44.9,0.00%
Mississippi,28,Medium Metro,3,1-4 years,2.5,All Other Causes,O,399,887430,44.9613,0.00%
Arkansas,5,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,221,490256,45.0785,0.00%
Alabama,1,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,245,538240,45.5187,0.00%
Oklahoma,40,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,324,705205,45.9441,0.00%
Arkansas,5,Small Metro,4,1-4 years,2.5,All Other Causes,O,148,321698,46.0059,0.00%
Louisiana,22,Small Metro,4,1-4 years,2.5,All Other Causes,O,376,806486,46.622,0.00%
Mississippi,28,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,430,901543,47.696,0.00%
Arkansas,5,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,240,499341,48.0633,0.00%
Louisiana,22,Large Central Metro,1,1-4 years,2.5,All Other Causes,O,173,355760,48.6283,0.00%
Oklahoma,40,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,227,466766,48.6325,0.00%
Arizona,4,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,125,241815,51.6924,0.00%
Florida,12,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,132,255278,51.7083,0.00%
Louisiana,22,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,217,395932,54.8074,0.00%
Louisiana,22,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,186,337462,55.1173,0.00%
South Dakota,46,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,124,209822,59.0977,0.00%
Arizona,4,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,61,102922,59.2682,0.00%
Mississippi,28,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,397,644779,61.5715,0.00%
Alaska,2,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,120,188279,63.7352,0.00%
Nevada,32,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,11,25094,43.83517972,0.00%
Nevada,32,Small Metro,4,1-4 years,2.5,All Other Causes,O,10,44371,22.53724279,0.00%
Massachusetts,25,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,13,58737,22.13255699,0.00%
Maryland,24,NonCore (non-metro),6,1-4 years,2.5,All Other Causes,O,18,63030,28.5578296,0.00%
Maine,23,Micropolitan (non-metro),5,1-4 years,2.5,All Other Causes,O,14,86432,16.19770455,0.00%
Michigan,26,Large Central Metro,1,1-4 years,2.5,Drug-Induced Causes,D,12,2392359,0.501596959,0.00%
Ohio,39,Large Central Metro,1,1-4 years,2.5,Drug-Induced Causes,D,13,2919279,0.445315436,0.00%
Florida,12,Medium Metro,3,1-4 years,2.5,Drug-Induced Causes,D,13,3601552,0.360955499,0.00%
Maryland,24,Large Fringe Metro,2,1-4 years,2.5,Drug-Induced Causes,D,10,3878438,0.257835758,0.00%
Florida,12,Large Fringe Metro,2,1-4 years,2.5,Drug-Induced Causes,D,17,3900571,0.435833625,0.00%
Georgia,13,Large Fringe Metro,2,1-4 years,2.5,Drug-Induced Causes,D,10,4117726,0.242852487,0.00%
Illinois,17,Large Central Metro,1,1-4 years,2.5,Drug-Induced Causes,D,11,4830450,0.227722055,0.00%
Florida,12,Large Central Metro,1,1-4 years,2.5,Drug-Induced Causes,D,14,5480601,0.255446437,0.00%
New York,36,Large Central Metro,1,1-4 years,2.5,Drug-Induced Causes,D,10,8457860,0.118233217,0.00%
Massachusetts,25,NonCore (non-metro),6,15-24 years,19,Drug-Induced Causes,D,0,16567,0,0.00%
Massachusetts,25,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,16567,0,0.00%
Massachusetts,25,NonCore (non-metro),6,15-24 years,19,All Other Causes,O,0,16567,0,0.00%
Nevada,32,NonCore (non-metro),6,15-24 years,19,Drug-Induced Causes,D,0,68167,0,0.00%
Nevada,32,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,68167,0,0.00%
New Hampshire,33,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,79250,0,0.00%
Alaska,2,Micropolitan (non-metro),5,15-24 years,19,Drug-Induced Causes,D,0,103662,0,0.00%
Alaska,2,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,103662,0,0.00%
Nevada,32,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,111878,0,0.00%
West Virginia,54,Large Fringe Metro,2,15-24 years,19,Alcohol-Induced Causes,A,0,114412,0,0.00%
Arkansas,5,Large Fringe Metro,2,15-24 years,19,Drug-Induced Causes,D,0,122547,0,0.00%
Arkansas,5,Large Fringe Metro,2,15-24 years,19,Alcohol-Induced Causes,A,0,122547,0,0.00%
Maryland,24,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,124456,0,0.00%
Utah,49,Large Fringe Metro,2,15-24 years,19,Alcohol-Induced Causes,A,0,126195,0,0.00%
Massachusetts,25,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,175556,0,0.00%
Oregon,41,NonCore (non-metro),6,15-24 years,19,Drug-Induced Causes,D,0,182259,0,0.00%
Oregon,41,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,182259,0,0.00%
Maryland,24,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,185763,0,0.00%
New Mexico,35,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,201512,0,0.00%
Nebraska,31,Small Metro,4,15-24 years,19,Drug-Induced Causes,D,0,235467,0,0.00%
Nebraska,31,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,235467,0,0.00%
Maine,23,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,263861,0,0.00%
Washington,53,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,266783,0,0.00%
Idaho,16,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,270428,0,0.00%
Alaska,2,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,284612,0,0.00%
Hawaii,15,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,298167,0,0.00%
Wyoming,56,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,316994,0,0.00%
Delaware,10,Medium Metro,3,15-24 years,19,Alcohol-Induced Causes,A,0,340586,0,0.00%
Connecticut,9,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,347323,0,0.00%
Utah,49,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,363197,0,0.00%
Oklahoma,40,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,378418,0,0.00%
Vermont,50,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,384764,0,0.00%
Delaware,10,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,386766,0,0.00%
Wyoming,56,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,387404,0,0.00%
North Dakota,38,NonCore (non-metro),6,15-24 years,19,Drug-Induced Causes,D,0,398688,0,0.00%
North Dakota,38,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,398688,0,0.00%
Utah,49,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,427022,0,0.00%
Mississippi,28,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,429122,0,0.00%
North Dakota,38,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,434617,0,0.00%
Maryland,24,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,441292,0,0.00%
Nevada,32,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,450463,0,0.00%
Hawaii,15,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,503901,0,0.00%
Mississippi,28,Large Fringe Metro,2,15-24 years,19,Alcohol-Induced Causes,A,0,528237,0,0.00%
Vermont,50,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,533749,0,0.00%
New Jersey,34,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,536518,0,0.00%
California,6,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,539451,0,0.00%
Virginia,51,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,583497,0,0.00%
Arizona,4,Large Fringe Metro,2,15-24 years,19,Alcohol-Induced Causes,A,0,604182,0,0.00%
Vermont,50,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,605033,0,0.00%
Minnesota,27,Medium Metro,3,15-24 years,19,Alcohol-Induced Causes,A,0,634459,0,0.00%
West Virginia,54,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,647487,0,0.00%
Maine,23,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,652189,0,0.00%
Colorado,8,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,663092,0,0.00%
Massachusetts,25,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,667145,0,0.00%
South Dakota,46,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,670572,0,0.00%
Colorado,8,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,683953,0,0.00%
South Carolina,45,Large Fringe Metro,2,15-24 years,19,Alcohol-Induced Causes,A,0,692053,0,0.00%
West Virginia,54,Medium Metro,3,15-24 years,19,Alcohol-Induced Causes,A,0,702952,0,0.00%
Montana,30,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,712801,0,0.00%
Florida,12,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,715788,0,0.00%
South Carolina,45,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,741237,0,0.00%
Utah,49,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,761598,0,0.00%
Nebraska,31,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,763675,0,0.00%
Maryland,24,Medium Metro,3,15-24 years,19,Alcohol-Induced Causes,A,0,768214,0,0.00%
Florida,12,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,773607,0,0.00%
Nebraska,31,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,802860,0,0.00%
Colorado,8,Micropolitan (non-metro),5,15-24 years,19,Alcohol-Induced Causes,A,0,805745,0,0.00%
Connecticut,9,Large Fringe Metro,2,15-24 years,19,Alcohol-Induced Causes,A,0,819676,0,0.00%
West Virginia,54,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,834646,0,0.00%
South Dakota,46,Small Metro,4,15-24 years,19,Alcohol-Induced Causes,A,0,843126,0,0.00%
Louisiana,22,NonCore (non-metro),6,15-24 years,19,Alcohol-Induced Causes,A,0,853493,0,0.00%
